序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,832469,富恒新材,17.65,20.89,3.05,273639.0,468634989.35,30.0,18.48,14.1,14.1,14.6,3.89,27.94,47.42,5.17,2487696900.0,1728800750.0,-0.51,-0.28,43.38,52.16
2,301131,聚赛龙,45.88,20.01,7.65,54754.0,242999606.92,21.61,45.88,37.62,37.62,38.23,7.93,17.78,34.69,2.57,2192647777.0,1413015497.0,0.0,0.0,30.94,32.99
3,300548,博创科技,44.5,20.01,7.42,292942.0,1276733197.1,7.15,44.5,41.85,43.77,37.08,2.6,10.97,35.83,7.7,12857330621.0,11878330621.0,0.0,0.0,-26.07,-4.12
4,688280,精进电动-UW,5.82,20.0,0.97,160306.0,91268328.0,9.9,5.82,5.34,5.34,4.85,4.92,3.08,17.7,5.46,3435090102.0,3029566924.0,0.0,0.0,28.48,32.57
5,300571,平治信息,32.46,20.0,5.41,154783.0,470340510.0,16.49,32.46,28.0,28.0,27.05,8.08,13.39,107.61,3.11,4529088423.0,3752488636.0,0.0,0.0,23.42,29.43
6,301076,新瀚新材,41.17,19.99,6.86,193127.0,746655144.22,18.07,41.17,34.97,34.97,34.31,2.35,22.86,85.53,4.75,5538353080.0,3477606227.0,0.0,0.0,18.65,33.15
7,300879,大叶股份,23.68,17.11,3.46,350191.0,761709604.62,21.17,24.09,19.81,22.72,20.22,5.65,17.42,6.17,3.42,4792804365.0,4760353649.0,1.63,2.82,43.86,51.02
8,300652,雷迪克,72.89,16.81,10.49,90887.0,637362760.86,20.87,74.88,61.86,63.8,62.4,2.93,9.87,53.52,5.25,7479106814.0,6712492143.0,1.31,1.25,147.59,145.26
9,301209,联合化学,96.8,16.74,13.88,61129.0,574456338.83,15.99,99.5,86.24,86.24,82.92,2.5,24.95,117.03,10.37,7744000000.0,2371600000.0,-0.19,-0.08,222.67,257.86
10,838810,春光智能,16.38,16.5,2.32,54718.0,88295855.02,21.05,17.4,14.44,14.44,14.06,4.54,12.27,94.15,4.86,1122030000.0,730168279.0,0.92,1.36,91.58,89.58
